序号,题目,主体类型,人物运动,能力专项,非人运动,Prompt类型,镜头语言,英文,prompt字数,题目来源,视频URL
204,"高角度全景俯拍。摄影机从古堡穹顶向下俯瞰整个战斗空间——南瓜头骑士站在大厅中央，长剑划出弧形寒光轨迹，连续劈砍；床单幽灵在四周石柱与蛛网密布的墙壁之间穿梭闪避。地面碎石随剑风崩飞，烛台被气流扑灭又重新燃起。
低角度近地仰拍，机位切至地面碎石堆旁。南瓜头骑士的铁靴从镜头前方跨过，落地震起尘土。仰视视角下，他举起长剑至最高点猛然劈下。剑刃斩入床单幽灵刚刚穿墙闪出的位置，击碎石墙表面，碎屑向镜头飞溅。幽灵从骑士身后的墙面渗出，眼珠快速转动锁定骑士后背。
中景侧面跟焦环绕镜头，摄影机与两者保持等距缓慢旋转。南瓜头骑士察觉身后异动，急速转身反手横扫；幽灵贴地飘行躲过剑锋，床单边缘被剑风撩起翻卷。",人物,运动体育,打斗场景,,专业影视语言,"运镜,多镜头",中文,296,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0203.mp4
205,"运动饮料广告：运动员大汗跑步。慢动作拧瓶盖。仰头畅饮水珠滑。产品旋转""POWER UP 能量焕发 ¥8.9""","人物,物体",运动体育,文字生成,,叙述性描述,"多镜头,时间操控",中文,54,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0204.mp4
206,"清晨5:30，固定机位，城市天际线全景。冷蓝晨曦勾勒建筑轮廓，延时以慢速启动，光线缓缓爬上建筑立面。晨光急速席卷城市，云层飞速流动，阴影快速缩短旋转，定格在上午明亮暖调中。

同一机位，午后建筑群。云影以正常延时速度掠过玻璃幕墙，阴影匀速偏移。云层急速翻涌，阴影快速拉长扫过街道。金色夕阳光线在建筑立面上最后一次横扫，玻璃逐块闪烁反光。


黄昏转夜幕，同一机位。写字楼灯光逐层亮起，灯光从低层蔓延至顶层，全部亮起，定格在璀璨夜景。


深夜城市全景，万家灯火静立于暗蓝夜空。",人造空间,,画面构图,,专业影视语言,"多镜头,时间操控",中文,238,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0205.mp4
207,足球赛：中场长传跟球弧线。前锋胸部停球慢动作。转身过人。球门网后射门入网球网抖动,人物,运动体育,,,专业影视语言,"运镜,多镜头,时间操控",中文,40,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0206.mp4
208,中秋之夜，家里的客厅灯火通明热闹非凡，圆桌上摆满了红烧肉、清蒸鱼、糖醋排骨和各色时蔬，中间放着一盒打开的广式双黄白莲蓉月饼。爷爷正在给五岁的小孙子夹一块排骨，孙子双手捧着碗眼巴巴地看着筷子的方向。第二个镜头突然切到万里之外——在伦敦一间狭小的学生公寓里，女儿独自坐在书桌前，面前是一碗刚泡好的方便面和一个从中国超市买来的散装月饼，笔记本电脑屏幕上是微信视频通话的画面，对面是家里热闹的餐桌。她用筷子挑起面条但没有吃，眼睛盯着屏幕里家人的笑脸。第三个镜头切回国内——爷爷举起酒杯凑近手机镜头，满脸皱纹堆成笑容大声说着什么。第四个镜头回到伦敦——女儿眼眶泛红但嘴角上扬，用力点头笑着回应，公寓窗外是冷蓝色的英国夜空和远处教堂的尖顶,人物,"日常行为,社会互动,情绪表情",,,分镜脚本,多镜头,中文,313,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0207.mp4
209,"Medium shot, singer faces camera in a dark studio lit by cyan and magenta neon strips. Sharp head turn to the right on the beat. The neon light catches the ""NOVA"" lettering on the back of a black leather jacket as the singer begins to turn. Camera pushes in slowly.
Close-up of the singer's hand dragging across the studio wall. Fingertips leave trails of liquid chrome that crawl and spread across the surface like mercury, pulsing in sync with the bass. The reflection of the singer's face is distorted in the chrome surface.
Wide shot from behind, singer center-frame, arms spread. The chrome from the walls now creeps across the floor toward the singer's boots, forming a mirror pool. Overhead neon rigs flicker between warm amber and cool violet. ""NOVA"" text on the jacket glows faintly, matching the chrome's shimmer.
Extreme close-up of the singer's face, eyes shut then snapping open. The iris reflects the liquid chrome environment. Pull-out reveals the entire studio has become a chrome shell — walls, floor, ceiling — with the singer as the only non-metallic element. Final frame freezes as the neon cuts to white.",人物,表演艺术,视觉特效,流体/软体,专业影视语言,"运镜,多镜头",英文,187,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0208.mp4
210,一位年轻上班族的通勤跨场景记录，同一人物穿越五个截然不同的空间。第一个镜头：他在家中厨房站着快速吃完最后一口吐司，用手背擦嘴，顺手拿起挂在椅背上的公文包，厨房背景是暖黄色的灯光和洗碗池里还没来得及洗的杯子。第二个镜头：他推开公寓大门走出来，外面正下着小雨，他从门口的伞架上抽出一把黑色折叠伞撑开，画面色调突然从室内暖黄变成室外的冷灰蓝。第三个镜头：公交站台上他和几个上班族一起等车，低头看手机上显示的时间，雨滴从伞边滴落，背景有一辆公交车正在远处驶来。第四个镜头：公交车内他坐在靠窗位置，窗外是不断后退的城市街景——高楼、路灯、行人都被雨水模糊成流动的色块，他的表情从焦虑慢慢变得平静。第五个镜头：写字楼内他走进一间开放式办公室，把湿伞放在门口的桶里，坐到自己的工位上打开笔记本电脑，屏幕亮起的白光照在他的脸上,人物,"日常行为,情绪表情",画面构图,,分镜脚本,多镜头,中文,355,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0209.mp4
211,"The astronaut's boot steps off the last rung of the lander ladder onto red soil, pressing a clear footprint. Low-angle camera at ground level captures the boot sole compacting Martian dust — fine particles bounce up and drift slowly in low gravity. The astronaut stands still. The camera tilts up from the footprint, past the white spacesuit torso, stopping at the helmet visor — the visor reflects the red Martian wasteland.
Same location, the astronaut has walked several steps forward. Medium shot follows his back as each boot leaves a trail of footprints extending across the red surface. He stops at an open flat area and slowly turns to face the camera. Olympus Mons rises on the distant horizon behind him. He retrieves a rolled flag from his side and unfurls the pole with both hands.
The astronaut drives the flagpole into Martian soil and stamps the base firm with his boot heel. The flag unfurls — printed with an Earth unity symbol, belonging to no nation. He steps back twice, standing beside the flag in a half-turn toward the camera. No wind exists; the flag holds its shape on a rigid support frame. The camera slowly pulls back and rises, expanding from a medium shot to a wide panorama — the astronaut, the flag, the trail of footprints behind him, and Olympus Mons in the distance together form the final frame.",人物,日常行为,画面构图,,专业影视语言,"运镜,多镜头",英文,230,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0210.mp4
212,"大全景远景，机位在山谷对面远处。一座山峰占据画面右侧，山顶站着一个渺小的人影——背包徒步者，面朝画面左侧延展的广袤森林。云层裂开一道缝隙，动漫风格的体积光束倾泻而下，为森林树冠染上明亮的金绿色。整体构图强调人物在自然中的渺小感，天空占画面上方三分之二，云朵以吉卜力风格的柔软体积感缓慢移动。
机位切至山顶，中景侧后方45度角。徒步者的背影与侧脸轮廓清晰可见——短发被山风吹起，衣摆和背包带随风飘动。他站在岩石边缘，一只手搭在背包肩带上。画面中景深分明：前景是脚下的碎石与野草，中景为人物，远景为色彩层次分明的森林延伸至地平线。阳光从云层缝隙变换角度，森林色调在画面中实时从深绿过渡至金黄。
机位切至正面低角度仰拍。镜头从略低于山顶岩石边缘的位置向上拍摄徒步者，天空作为整个背景。他的正脸迎着光线，头发和衣服被迎面的风持续吹动。表情安静，眼中映着远处的风景。阳光完全穿透云层，在他身后形成放射状光线，风将几片树叶从画面下方卷起掠过身侧。他微微闭眼深吸一口气，嘴角轻轻上扬。","人物,自然景观",,风格化,,专业影视语言,多镜头,中文,435,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0211.mp4
213,A designer sketches in a studio. Cut to a factory worker operating a CNC machine cutting the same shape. Cut to a customer unboxing the finished product at home. Cut to the designer smiling seeing a 5-star review on screen. Four shots tracing an object from concept to consumer across four locations,人物,日常行为,,,专业影视语言,多镜头,英文,52,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0212.mp4
214,"A single red rose goes through its lifecycle in four shots. Shot 1: tight bud in morning light. Shot 2: half-open bloom at noon. Shot 3: full blossom at golden hour. Shot 4: petals falling at dusk. Same rose, same vase, four time jumps — only the flower and light change",物体,,画面构图,形态变化,分镜脚本,多镜头,英文,51,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0213.mp4
215,清晨的阳光洒在简约的卧室里，一位年轻中国男子站在那里。他缓缓地扣上白色衬衫的纽扣，镜头特写衬衫面料自然地垂落在身上，双手流畅地扣着纽扣。随后向卧室走去，对着镜子满意地看了看，最后转了个圈。文字“空调衫 ¥199 舒适轻薄”。干净的自然光线。,人物,日常行为,文字生成,,叙述性描述,,中文,120,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0214.mp4
216,"Wolf pack hunts at twilight on snowy plain — seven shots of coordinated predator movement. Wide formation. Alpha's breath in cold air. Pack accelerates. Close-up of powerful hind legs. They fan out. One wolf feints left. The pack converges from all sides — cut before contact, outcome left to imagination",动物,,多个体/群体画面,动物运动,专业影视语言,多镜头,英文,50,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0215.mp4
217,"烈日炙烤的苍茫非洲荒野，枯黄草原一望无际，燥热空气微微扭曲晃动。镜头缓缓向前推进，草丛深处，一只雄狮压低身形蛰伏隐匿，茂密的深色鬃毛与枯草完美融合，在阴影中静静蓄力。侧机位低角度拍摄，雄狮目光锐利如刀、死死锁定远方猎物，浑身肌肉紧绷，整片旷野静谧荒芜，暗藏张力。电影级色调，自然光影，浅景深特写。不要出现多只狮子，不要卡通风格，不要文字水印。

同一只深色鬃毛雄狮瞬间爆发冲刺，庞大的身躯带起滚滚沙尘，疾驰穿梭在非洲枯黄草原之上。近距离跟拍特写，每一步落脚力量感十足，四肢腾空、肌肉线条剧烈收缩，速度感与压迫感拉满。锋利凶狠的眼神紧盯前方，威武的鬃毛随极速奔跑和狂风肆意飞扬，獠牙微张，风声裹挟旷野怒吼。运动模糊背景，高速摄影质感，侧面跟随机位。不要静止画面，不要多只动物，不要肢体变形。

航拍镜头缓缓拉高俯瞰，同一只深色鬃毛雄狮如一道金色闪电疾驰穿过辽阔非洲草原，孤身穿梭苍茫旷野，身后扬起一道细长尘迹。夕阳金色光线斜洒大地，天地光影交融，壮阔地平线延伸至远方。最终缓慢定格，野性、力量与绝对自由的荒野盛世画面。大全景构图，航拍视角，电影级宽画幅。不要近景特写，不要人类建筑，不要多只动物。",动物,,画面构图,动物运动,专业影视语言,"运镜,多镜头",中文,497,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0216.mp4
218,"A Beijing hutong. Ground-level wide-angle shot, frame slightly tilted. Five kids play football in an alley flanked by gray walls. The boy in yellow cuts diagonally forward dribbling the ball, three defenders rush in from both sides to block him. The kid in red slides in for a tackle, kicking up a cloud of dust and gravel. The football sits at the lower-right golden-ratio position in frame. The camera tracks quickly side to side following the ball. The rising dust spreads and obscures the edges of the frame.
A southern town river pond. The dust transforms into splashing water — three shirtless boys leap off a stone arch bridge into green river water, each in a different pose: one in a cannonball tuck, one with arms spread wide, one pinching his nose falling straight down. Wide-angle low shot near the water surface looking up, the splash explodes toward the camera, sunlight piercing through the water droplets creating tiny rainbows. Two kids who didn't dare jump crouch on the bank, nervously peering down.
 A rural threshing ground. Under golden-hour side light, a group of girls jump rubber-band rope on an open concrete yard. Two girls hold the elastic band at each end while three in the middle take turns jumping and flipping, floral skirts and braids swinging with the motion. Low-angle side shot captures fine chaff dust rising beneath their feet as they leap. In the blurred background, an adult rides past on a bicycle. One girl catches her foot on the band and tumbles, the rest burst into laughter.",人物,运动体育,多个体/群体画面,,专业影视语言,"运镜,多镜头",英文,258,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0217.mp4
219,"高度写实，慢镜头跟拍，主体始终为同一个中国男孩与一只足球，跨越三处不同场景，捕捉足球腾空与接球的瞬间。
阳光公园。树叶间洒下斑驳光影，男孩奔跑中一脚将足球踢向空中。慢镜头跟拍足球升起——球体缓慢旋转，表面的纹路和草屑清晰可辨，阳光穿过树冠在球面上投下流动的光斑。镜头随球上升，男孩在下方抬头追踪球的轨迹，嘴角咧开兴奋的笑容，奔跑中的头发一根根被定格在空气中。足球升至最高点开始下落——穿过一片树叶缝隙的光柱。
黄昏沙滩。足球从画面上方落入海边黄昏的天空中，同一个男孩赤脚奔跑在湿润沙滩上，仰头准备接球。慢镜头捕捉他每一步踩在沙面上溅起的细沙与水珠，脚趾抓地的细节。足球旋转下落，男孩的瞳孔中倒映着球体。他跳起用胸部停球——球触碰胸口的瞬间，T恤面料形成凹陷涟漪，足球弹起后他用膝盖轻巧颠起，身后是橙红色的落日贴着海平面。
夜晚街灯下。足球再次腾空，旋转着飞过一盏路灯的光晕，水汽和小飞虫在灯光中被照亮。同一个男孩站在社区水泥球场上，周围空无一人，只有路灯将他的影子拉长。他后退两步，仰头注视下落的球，脸上的兴奋和专注与白天一模一样。球落至额头高度——他精准地用头一顶，足球弹向夜空再次升起。镜头跟球上升，从男孩脸上的笑容拉远，直到足球变为路灯光晕中一个旋转的小小轮廓。","人物,物体",运动体育,材质质感,,专业影视语言,"运镜,多镜头,时间操控",中文,534,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0218.mp4
220,Montage of three dog owners in different parks walking their dogs at dawn. Shot 1: man with dalmatian on a beach. Shot 2: woman with poodle in a city park. Shot 3: child with labrador in a forest trail. Shot 4: all three dogs notice something off-screen. Shot 5: all three bark in unison — a visual joke cutting rapidly between locations,"人物,动物",日常行为,多个体/群体画面,,分镜脚本,多镜头,英文,62,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0219.mp4
221,"Wes Anderson style: pastel pink hotel lobby. Centered wide front desk. Bellboy walks left with two suitcases. Elevator opens, guest in matching pastel. All shots bilateral symmetry","人物,人造空间",日常行为,风格化,,叙述性描述,多镜头,英文,27,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0220.mp4
222,一位独立音乐人一天中在三个截然不同的场景演奏同一首曲子，展现音乐从私密到公开的渐进式层次变化。第一个镜头是清晨七点——他坐在自家老式公寓的阳台上，一把原木色民谣吉他横在膝盖上，赤脚踩在有些掉漆的铁栏杆横杆上。他闭着眼睛轻轻弹拨弦，旋律还不太流畅，偶尔停下来在一本螺旋装订的笔记本上修改几个和弦标记。阳台外是灰蓝色的城市天际线和几只在远处盘旋的鸽子。第二个镜头切到午后三点的录音棚——他戴着监听耳机坐在话筒前，吉他已经换成了一把做工更精良的全单板琴，面前的调音台上亮着一排绿色的电平指示灯。他弹奏同样的旋律但加入了更多细节和即兴变奏，表情比早晨更加专注。第三个镜头是傍晚七点的livehouse舞台——暗红色的追光打在他身上，台下挤满了举着手机的观众，同样的旋律此刻被演绎得激昂饱满,人物,表演艺术,,,叙述性描述,多镜头,中文,340,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0221.mp4
223,"Three different craftsmen working with the same material — wood. Shot 1: Japanese joiner fitting a mortise joint. Shot 2: African sculptor carving a mask. Shot 3: European luthier shaping a violin body. Shot 4: all three finished products displayed side by side. Same material, three cultures, three spatial contexts","人物,物体",精细操作,多个体/群体画面,,分镜脚本,多镜头,英文,50,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0222.mp4
224,科幻动画太空站两宇航员修管道。飘进舱门全景。扳手拧螺栓特写。递工具中景。舷窗看旋转地球,人物,社会互动,,,叙述性描述,多镜头,中文,43,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0223.mp4
225,快递员一天五个场景：骑车穿早高峰。小区门口打电话。电梯看订单。敲门递包裹。路边吃盒饭,人物,日常行为,,,日常白话,多镜头,中文,42,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0224.mp4
226,Butterfly emerges from chrysalis. Time-lapse cracking. Wet wings unfurling. Macro wing scales iridescent blue. First flight catching sunlight. Four shots of transformation,动物,,,形态变化,专业影视语言,"多镜头,时间操控",英文,22,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0225.mp4
227,"A woman writes a letter at her desk at night. Cut to the postman delivering it across town next morning. Cut to an elderly man opening the envelope with trembling hands. Three people, three times of day, three spaces — one letter connecting them. Three shots tracing the emotional journey of physical mail",人物,日常行为,,,叙述性描述,多镜头,英文,53,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0226.mp4
228,暴雨之夜，阳台上一只景德镇青花瓷花瓶被狂风吹落。第一个镜头从阳台向下俯拍——花瓶离开栏杆的瞬间开始自由坠落，雨线在画面中形成密集的斜线条纹，花瓶在下坠过程中缓缓翻转，瓶身上的青花缠枝莲纹样在路灯的暖光中若隐若现。第二个镜头在地面仰拍——花瓶从画面顶部旋转着坠入视野，慢动作拍摄使得每一滴雨珠都变成清晰的椭圆形水球与花瓶同步下落，瓶身反射着楼上各家窗口透出的灯光形成不规则的光点。第三个镜头是触地碎裂的微距特写——瓷器底部最先接触水泥地面的瞬间，一条裂纹以极快速度从接触点向四周辐射，紧接着整个瓶身爆裂成数十片大小不一的碎片向四面飞散，碎片内部露出白色的胎质断面，花瓶中的水和几支白色百合花同时被抛出，水花混着雨水溅起半米高。第四个镜头是俯拍静物——碎片散落在湿漉漉的地面上，白色百合花横卧在碎瓷之间，花瓣上沾着泥水，一个完整的瓶底碎片正面朝上露出底款印章。第五个镜头急切到楼上阳台——一位穿着居家服的年轻女性趴在栏杆上伸出手，嘴巴微张一脸惊愕，但一切已经来不及了,物体,,,形态变化,专业影视语言,"运镜,多镜头,时间操控",中文,431,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0227.mp4
229,Anime samurai draws katana in moonlit bamboo grove — five rapid shots with whip pans between each. Eyes open. Hand grips hilt. Blade flashes in arc. Bamboo falls in slow motion. Sword sheathed with a click. Whip-pan transitions create kinetic energy between static poses,人物,运动体育,打斗场景,,专业影视语言,"运镜,多镜头,时间操控",英文,44,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0228.mp4
230,"航拍掠过瑞士阿尔卑斯雪山，晨光金辉洒落连绵雪峰，云雾缭绕。镜头俯冲下降，雪山倒映在一枚银色精钢腕表的弧面表镜上，表盘可见""AURUM""字样，过渡至下一镜。电影级广色域，丝滑航拍运镜。
温暖的工坊台灯光下，工匠手持镊子将微小齿轮精准嵌入同一枚AURUM腕表机芯，金属零件反射细腻光泽。浅景深微距特写，能看清宝石轴承与日内瓦纹打磨纹理，指尖轻微颤动传递匠心专注。
商务男士推开玻璃门自信步入现代会议室，侧跟机位从手腕处起拍，同一枚AURUM精钢腕表在袖口间若隐若现，金属表链贴合手腕反射柔和日光。男士落座，左手自然搭于桌面，表盘朝上，""AURUM""标识清晰可辨。冷灰色调办公空间，逆光轮廓。
微距缓慢推入同一枚腕表表盘，浅银色盘面纹理纤毫毕现，12点位""AURUM""品牌字样锐利精致，3点位日历窗显示""MON 07""，指针缓缓走动。背景纯黑渐隐，光线从侧面勾勒表圈边缘高光。","人物,物体","日常行为,精细操作",材质质感,,专业影视语言,"运镜,多镜头",中文,385,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0229.mp4
231,"高度写实，暮色北方小院，暖黄彩灯贯穿，同一场家庭烧烤晚宴。
烤炉特写，肉串滋滋冒油翻滚，爸爸大手熟练撒下孜然辣椒面，白烟裹着火星升腾，他侧脸被炭火映红，嘴里喊着""好了好了端走""。
中景，妈妈端着一盘刚烤好的肉串放上桌，奶奶笑着用筷子把串上的肉撸进孩子碗里，桌面摆满酱料碟和啤酒瓶，彩灯光斑洒在碗碟上。
近景，爷爷靠在老藤椅上，一手端着冰啤酒，一手摇着蒲扇，笑眯眯地望向院子中间孩子们跑闹的方向，脚边卧着一只打盹的老黄狗。
中景跟拍，两个小孩一人举着半截烤玉米一人拿着肉串，追跑打闹绕过石榴树，笑声尖叫声交替，跑过时碰歪了挂在树枝上的一盏小彩灯。
镜头从院门外缓缓拉远，门框框住院内全貌——炭火烟气、彩灯光晕、桌旁大人聊天、孩子绕树追跑，所有声音混在一起。暮色渐深，小院灯火温暖如一幅画，定格。",人物,"日常行为,社会互动",多个体/群体画面,,专业影视语言,"运镜,多镜头",中文,346,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0230.mp4
232,美术馆内，一幅长达10米的书画长卷悬挂在展墙上。摄像机架设在轨道上，从右至左缓慢移动，匀速拍摄全卷。长卷上右侧有楷书，左侧有山水水墨画，墨色浓淡相间，落款处有印章。右侧楷书全文：“壬戌之秋，七月既望，苏子与客泛舟游于赤壁之下。清风徐来，水波不兴。举酒属客，诵明月之诗，歌窈窕之章。少焉，月出于东山之上，徘徊于斗牛之间。白露横江，水光接天。纵一苇之所如，凌万顷之茫然。浩浩乎如冯虚御风，而不知其所止；飘飘乎如遗世独立，羽化而登仙。于是饮酒乐甚，扣舷而歌之。歌曰：‘桂棹兮兰桨，击空明兮溯流光。渺渺兮予怀，望美人兮天一方。’客有吹洞箫者，倚歌而和之。其声呜呜然，如怨如慕，如泣如诉，余音袅袅，不绝如缕。舞幽壑之潜蛟，泣孤舟之嫠妇。苏子愀然，正襟危坐而问客曰：‘何为其然也？’客曰：‘“月明星稀，乌鹊南飞”，此非曹孟德之诗乎？西望夏口，东望武昌，山川相缪，郁乎苍苍，此非孟德之困于周郎者乎？”镜头移动速度缓慢均匀，展馆灯光柔和，玻璃展柜无反光。,文字为主,,文字生成,,叙述性描述,运镜,中文,419,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0231.mp4
233,"教室黑板前，一位老师正在用白色粉笔书写一段数学推导过程，镜头固定对准黑板。粉笔字迹逐渐出现，内容包括：“费马大定理：当整数n > 2时，关于x, y, z的方程 x^n + y^n = z^n 没有正整数解。证明思路（怀尔斯，1995）：1. 将问题转化为椭圆曲线模形式；2. 证明谷山-志村猜想对于半稳定椭圆曲线成立；3. 利用反证法，假设存在解，构造一个椭圆曲线，该曲线不能模形式化，导致矛盾。具体步骤：第一步，考虑弗雷曲线...”书写速度适中，粉笔灰飘落，光线柔和，黑板有轻微反光，4k画质。",文字为主,,文字生成,,叙述性描述,,中文,249,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0232.mp4
234,"一个穿着""JOYAI""标志T恤的中国美女正拿着黑色马克笔在白板上书写。切至白板特写，文字逐行出现：""一、JOYAI的技术路线：探索视觉生成基础模型的极限。二、JOYAI的模型特色：1、复杂文字渲染；2、精准图像编辑。三、JOYAI的未来愿景：赋能专业内容创作、助力生成式AI发展。""切回中景，她放下笔转身面对镜头微笑。","人物,文字为主",日常行为,文字生成,,叙述性描述,多镜头,中文,159,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0233.mp4
235,[超近距离虹膜] 紧密聚焦于一个人类的虹膜，每一道色彩斑点都反射着虹膜之外的景象。切至面部全景，缓缓拉远展现黑暗房间中人物的面部。他们眨了眨眼。切至他们的手部特写，手指微微颤动，重新聚焦现实。,人物,日常行为,,,叙述性描述,"运镜,多镜头",中文,96,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0234.mp4
236,"A dreamy close-up of a champagne flute reveals the Titanic miniature inside, slowly sinking through golden bubbles. Christmas lights bokeh twinkles in the background while the ship gracefully descends, trailing tiny bubbles in its wake.",物体,,,刚体位移,叙述性描述,,英文,35,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0235.mp4
237,麦片盒放在台面上，一只手撕开封口，镜头推近背面：“格兰诺拉烘焙麦片，配料：澳洲燕麦片45%、南瓜籽8%、巴旦木7%、蔓越莓5%、奇亚籽3%。每40g含蛋白质6.2g、膳食纤维5.1g。无反式脂肪酸，0添加蔗糖。保质期10个月。”,文字为主,,文字生成,,叙述性描述,运镜,中文,114,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0236.mp4
238,"A hyper-realistic low-angle orbiting shot circles a scientist in a sterile lab interacting with a DNA sequencer. As the camera rotates
dynamically around the workstation, the cool blue light from the pulsing
holographic interface illuminates the scientist's focused face, while complex
genetic sequences stream and shift rapidly across the screens in high-speed
motion.",人物,日常行为,画面构图,,专业影视语言,运镜,英文,49,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0237.mp4
239,"An artificial aurora shimmering in the night sky, generated by the expanding and glowing exhaust plume of a rising rocket.",自然景观,,视觉特效,流体/软体,日常白话,,英文,20,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0238.mp4
240,一段高动态的3D CGI序列，展现了水母在生机勃勃的珊瑚礁间翩翩起舞，宛如一场复杂的水下芭蕾，呈现出精妙绝伦的水下编舞和流畅的动作，没有鱼类的出现。,动物,,,动物运动,日常白话,,中文,74,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0239.mp4
241,一个身穿绿色运动服、头戴黑色骑行头盔的中国女孩骑着一辆蓝色的山地自行车在公路上骑行，她的前方有一辆红色的轿车驶过。,人物,运动体育,属性绑定,,日常白话,,中文,57,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0240.mp4
242,一位独行徒步者站在山顶，眺望着一片茂密的森林。风掠过他们的头发，阳光穿透云层。切至脚下视角，靴子踩在碎石上，远处山谷云雾翻涌。再切回全景，人物沉浸在这令人惊叹的美景之中。,人物,日常行为,,,叙述性描述,多镜头,中文,85,,https://zhaojiaqi-new.s3.cn-north-1.jdcloud-oss.com/t2v_eval/t2v_v3_0808_qt_it478000_10s/0241.mp4
